nu_fit,I_fit,I_fitted
331000000000000.0,29158768.0,29158768.57651082
332000000000000.0,30158766.0,30158768.59951416
333000000000000.0,31158768.0,31158768.6225175
334000000000000.0,32158768.0,32158768.645520836
335000000000000.0,33158768.0,33158768.668524176
336000000000000.0,34158770.0,34158768.691527516
337000000000000.0,35158770.0,35158768.714530855
338000000000000.0,36158770.0,36158768.73753419
339000000000000.0,37158770.0,37158768.76053753
340000000000000.0,38158770.0,38158768.78354087
341000000000000.0,39158770.0,39158768.80654421
342000000000000.0,40158772.0,40158768.82954755
343000000000000.0,41158764.0,41158768.85255089
344000000000000.0,42158772.0,42158768.87555422
345000000000000.0,43158770.0,43158768.89855756
346000000000000.0,44158770.0,44158768.9215609
347000000000000.0,45158770.0,45158768.94456424
348000000000000.0,46158772.0,46158768.96756758
349000000000000.0,47158770.0,47158768.99057092
350000000000000.0,48158770.0,48158769.01357425
351000000000000.0,49158770.0,49158769.03657759
352000000000000.0,50158770.0,50158769.05958093
353000000000000.0,51158770.0,51158769.08258427
354000000000000.0,52158770.0,52158769.10558761
355000000000000.0,53158770.0,53158769.12859095
356000000000000.0,54158770.0,54158769.15159428
357000000000000.0,55158772.0,55158769.17459762
358000000000000.0,56158764.0,56158769.19760096
359000000000000.0,57158770.0,57158769.2206043
360000000000000.0,58158770.0,58158769.24360764
361000000000000.0,59158770.0,59158769.26661098
362000000000000.0,60158770.0,60158769.28961431
363000000000000.0,61158770.0,61158769.31261765
364000000000000.0,62158764.0,62158769.33562099
365000000000000.0,63158772.0,63158769.35862433
366000000000000.0,64158764.0,64158769.38162767
367000000000000.0,65158772.0,65158769.40463101
368000000000000.0,66158770.0,66158769.42763434
369000000000000.0,67158770.0,67158769.45063768
370000000000000.0,68158770.0,68158769.47364102
371000000000000.0,69158770.0,69158769.49664436
372000000000000.0,70158770.0,70158769.5196477
373000000000000.0,71158770.0,71158769.54265104
374000000000000.0,72158776.0,72158769.56565438
375000000000000.0,73158770.0,73158769.58865772
376000000000000.0,74158770.0,74158769.61166106
377000000000000.0,75158770.0,75158769.63466439
378000000000000.0,76158770.0,76158769.65766773
379000000000000.0,77158770.0,77158769.68067107
380000000000000.0,78158770.0,78158769.7036744
381000000000000.0,79158770.0,79158769.72667775
382000000000000.0,80158770.0,80158769.74968109
